id	num_awards	prog	math
45	0	vocation	41
108	0	general	41
15	0	vocation	44
67	0	vocation	42
153	0	vocation	40
51	0	general	42
164	0	vocation	46
133	0	vocation	40
2	0	vocation	33
53	0	vocation	46
1	0	vocation	40
128	0	academic	38
16	0	vocation	44
106	0	vocation	37
89	0	vocation	40
134	0	general	39
19	0	general	43
145	0	vocation	38
11	0	academic	45
117	0	vocation	39
109	0	general	42
12	0	vocation	45
37	0	vocation	40
69	0	vocation	40
43	0	academic	43
196	0	academic	49
36	1	general	44
155	1	general	46
6	0	academic	46
4	1	academic	41
25	0	general	42
107	0	vocation	47
5	1	academic	43
47	0	academic	49
140	1	vocation	40
22	1	vocation	39
18	0	vocation	49
30	0	academic	42
40	0	general	43
176	0	academic	41
126	0	general	57
197	0	academic	50
46	0	academic	44
49	0	vocation	39
8	0	academic	52
124	1	vocation	41
13	0	vocation	39
111	0	general	39
142	0	vocation	52
193	1	academic	48
105	0	academic	45
58	0	vocation	40
129	0	general	46
38	3	academic	50
182	0	academic	43
115	0	general	43
14	1	academic	54
175	1	general	42
44	0	vocation	45
86	0	general	54
72	0	vocation	47
41	1	academic	45
191	0	academic	43
138	1	vocation	40
9	0	vocation	52
151	1	vocation	52
119	0	general	45
55	0	academic	49
73	1	academic	53
28	0	general	54
90	2	academic	50
17	0	academic	48
102	0	academic	51
70	0	general	41
148	1	vocation	51
54	0	general	46
42	0	vocation	55
87	0	general	46
21	0	general	61
181	0	academic	45
165	0	vocation	54
78	0	academic	54
76	1	academic	51
29	0	general	49
91	0	vocation	56
52	0	academic	53
10	1	general	49
85	0	general	57
50	0	general	42
56	0	vocation	46
64	0	vocation	45
130	0	general	55
141	0	vocation	47
74	0	academic	50
83	0	vocation	41
31	0	general	52
172	1	academic	57
184	0	vocation	53
75	1	vocation	51
187	0	general	57
113	0	academic	51
162	0	vocation	40
110	0	vocation	50
150	0	vocation	57
167	0	general	35
77	0	academic	49
35	0	general	50
158	1	general	55
112	0	academic	48
48	0	academic	52
147	1	academic	53
7	1	academic	59
65	2	academic	66
168	0	academic	57
190	1	academic	54
178	0	vocation	57
159	1	academic	54
120	0	academic	54
116	0	academic	54
79	2	academic	49
98	1	vocation	51
122	3	academic	58
179	1	academic	60
198	0	academic	51
189	0	academic	63
199	1	academic	50
156	1	academic	53
166	0	academic	53
160	0	academic	55
152	1	academic	56
183	0	academic	49
94	1	academic	61
149	0	general	49
131	0	academic	57
24	0	academic	66
99	0	general	56
171	3	academic	60
104	1	academic	57
81	0	academic	59
97	0	academic	58
20	0	academic	57
163	3	academic	64
195	0	general	60
84	0	general	54
27	1	academic	61
118	1	general	58
71	0	general	56
63	0	general	60
185	0	academic	55
127	3	academic	57
177	0	academic	62
188	0	academic	56
60	0	academic	51
66	2	vocation	56
173	0	general	61
186	1	academic	63
96	5	academic	61
101	0	academic	67
3	0	academic	48
170	1	academic	61
92	0	general	57
62	0	general	48
135	2	academic	65
26	4	academic	62
139	1	academic	61
121	0	vocation	53
144	1	general	58
146	1	academic	64
137	3	academic	65
123	1	general	56
169	1	general	63
34	3	academic	57
33	2	academic	72
32	0	vocation	66
114	0	academic	62
125	1	academic	58
59	1	academic	63
23	3	academic	64
161	2	academic	72
103	0	academic	64
194	6	academic	69
136	4	academic	70
154	1	academic	66
157	0	general	58
93	2	academic	62
39	2	academic	67
88	1	academic	64
192	2	academic	63
80	1	academic	68
200	1	academic	75
180	0	academic	69
82	1	academic	65
174	2	academic	71
95	5	academic	71
61	1	academic	60
100	2	academic	71
143	2	vocation	75
68	1	academic	71
57	0	academic	72
132	3	academic	73
